region,contract,buyer,supplier,amount,award_date,start_date,end_date,link
Federal,Computer equipment related to Distributed Computing Environment (DCE) - Desktop/personal/portable (includes all related parts and peripherals),Financial Consumer Agency of Canada,BELL MOBILITY INC.,"$80,719","Apr 18, 2024","Apr 18, 2024","Sep 30, 2024",https://theijf.org/procurement/5r00240099_fcac
Federal,Computer Services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$63,036","Jan 30, 2024","Oct 31, 2024","Mar 31, 2030",https://theijf.org/procurement/p000056797_ssc
Federal,Computer Services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$181,292","Feb 1, 2024","Mar 31, 2025","Mar 31, 2030",https://theijf.org/procurement/p000057009_ssc
Federal,Computer Services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$102,712","Feb 21, 2024","Feb 1, 2025","Mar 31, 2030",https://theijf.org/procurement/p000057732_ssc
Federal,Voice Communications Services(incl Analog/Digital),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$13,267","May 26, 2021","May 26, 2021","Mar 31, 2025",https://theijf.org/procurement/700585105_ssc
Federal,Other office equipment and parts,National Research Council Canada,BELL,"$21,443","Jul 16, 2021","Jul 16, 2021","Jul 31, 2023",https://theijf.org/procurement/975847_nrc
Federal,Voice Communications Services(incl Analog/Digital),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$13,546","Jun 10, 2021","Jun 10, 2021","Mar 31, 2024",https://theijf.org/procurement/700589087_ssc
Federal,Voice Communications Services(incl Analog/Digital),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$11,351","Apr 29, 2021","Apr 29, 2021","Mar 31, 2023",https://theijf.org/procurement/700578729_ssc
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",National Research Council Canada,BELL CANADA,"$199,151","Aug 31, 2020","Aug 31, 2020","Sep 10, 2020",https://theijf.org/procurement/ras209644_nrc
Federal,Data communications services,Shared Services Canada,BELL CANADA,"$3,390,000","Mar 14, 2023","Mar 14, 2023","Mar 13, 2031",https://theijf.org/procurement/700776332_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$90,666","May 1, 2024","May 1, 2024","Mar 31, 2030",https://theijf.org/procurement/p000057469_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$43,375","May 1, 2024","May 1, 2024","Mar 31, 2030",https://theijf.org/procurement/p000057647_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$67,913","May 14, 2024","May 14, 2024","Mar 31, 2030",https://theijf.org/procurement/p000056783_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$30,281","Jun 11, 2024","Jun 11, 2024","Mar 31, 2030",https://theijf.org/procurement/p000057459_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$14,531","Apr 1, 2024","Apr 1, 2024","Mar 31, 2029",https://theijf.org/procurement/p000037249_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$30,430","Apr 1, 2024","Apr 1, 2024","Mar 31, 2029",https://theijf.org/procurement/p000056814_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$44,126","Apr 1, 2024","Apr 1, 2024","Mar 31, 2029",https://theijf.org/procurement/p000053390_ssc
Federal,Data communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$9,354,317","Oct 17, 2023","Oct 17, 2023","Oct 16, 2028",https://theijf.org/procurement/p000056030_ssc
Federal,Other office equipment and Parts,Royal Canadian Mounted Police,BELL CANADA,"$2,029,702","Jan 5, 2022","Jan 5, 2022","Apr 1, 2028",https://theijf.org/procurement/s202201233_rcmp
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$19,704","Jun 14, 2024","Jun 14, 2024","Mar 31, 2028",https://theijf.org/procurement/700787254_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$149,607,609","Dec 20, 2023","Dec 20, 2023","Mar 31, 2028",https://theijf.org/procurement/700758283_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$20,416","Jan 25, 2024","Jan 25, 2024","Mar 31, 2027",https://theijf.org/procurement/700763040_ssc
Federal,Voice communications services,Shared Services Canada,BELL ALIANT REGIONAL,"$53,041","Jan 28, 2022","Jan 28, 2022","Mar 31, 2026",https://theijf.org/procurement/700628291_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$209,251","Sep 18, 2021","Sep 18, 2021","Mar 31, 2026",https://theijf.org/procurement/700606471_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$1,529,563","Sep 20, 2021","Sep 20, 2021","Mar 31, 2026",https://theijf.org/procurement/700606672_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$235,959","Sep 20, 2021","Sep 20, 2021","Mar 31, 2026",https://theijf.org/procurement/700606703_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$571,731","Oct 25, 2021","Oct 25, 2021","Mar 31, 2026",https://theijf.org/procurement/700612337_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$752,143","Nov 10, 2021","Nov 10, 2021","Mar 31, 2026",https://theijf.org/procurement/700615426_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$1,019,820","Mar 29, 2022","Mar 29, 2022","Mar 31, 2026",https://theijf.org/procurement/700641058_ssc
Federal,Voice communications services,Shared Services Canada,BELL ALIANT REGIONAL,"$193,196","Nov 16, 2022","Nov 16, 2022","Mar 31, 2026",https://theijf.org/procurement/700684309_ssc
Federal,License/Maintenance fees for application software (including COTS) and application development and delivery software,Canadian Transportation Agency,BELL CANADA,"$44,410","Mar 21, 2024","Mar 21, 2024","Mar 20, 2026",https://theijf.org/procurement/y211024052_cta
Federal,License/Maintenance fees for networking software,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$803,813","Jun 26, 2024","Jun 26, 2024","Jun 25, 2025",https://theijf.org/procurement/p000063231_ssc
Federal,Data communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$30,161","Jun 12, 2023","Jun 12, 2023","Jun 11, 2025",https://theijf.org/procurement/p000050240_ssc
Federal,Data communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$12,180","Mar 18, 2024","Mar 18, 2024","May 20, 2025",https://theijf.org/procurement/p000059097_ssc
Federal,"Image/Video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$67,949","May 6, 2024","May 6, 2024","May 5, 2025",https://theijf.org/procurement/p000061550_ssc
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$463,407","Apr 25, 2024","Apr 25, 2024","Apr 25, 2025",https://theijf.org/procurement/p000061197_ssc
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$576,667","Apr 23, 2024","Apr 23, 2024","Mar 31, 2025",https://theijf.org/procurement/7272274_rcmp
Federal,Voice communications services,Shared Services Canada,BELL ALIANT REGIONAL,"$19,075","Jun 10, 2024","Jun 10, 2024","Mar 31, 2025",https://theijf.org/procurement/700786344_ssc
Federal,Communications professional services not Elsewhere Specified,Public Services and Procurement Canada,BELL ALIANT REGIONAL,"$12,545","Apr 8, 2024","Apr 8, 2024","Mar 31, 2025",https://theijf.org/procurement/700774980_pwgsc
Federal,Information technology and telecommunications consultants,National Defence,Bell Canada,"$28,567","Mar 28, 2024","Apr 1, 2024","Mar 31, 2025",https://theijf.org/procurement/4502729948_dnd
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$39,013","Jun 24, 2024","Jun 24, 2024","Mar 31, 2025",https://theijf.org/procurement/7273319_rcmp
Federal,Data communications services,Parole Board of Canada,BELL MOBILITY INC,"$73,224","Sep 14, 2023","Apr 1, 2023","Mar 31, 2025",https://theijf.org/procurement/p2400161_pbc
Federal,Voice communications services,Office of the Commissioner for Federal Judicial Affairs Canada,Bell Canada,"$50,850","Apr 30, 2024","Apr 1, 2024","Mar 31, 2025",https://theijf.org/procurement/4f001_24_009_fja
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$548,462","Apr 23, 2024","Apr 23, 2024","Jan 31, 2025",https://theijf.org/procurement/7272275_rcmp
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$55,609","Apr 22, 2024","Apr 22, 2024","Jul 31, 2024",https://theijf.org/procurement/7272234_rcmp
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$195,125","Mar 27, 2023","Mar 27, 2023","Mar 31, 2024",https://theijf.org/procurement/7263998_rcmp
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$609,926","Apr 4, 2023","Apr 4, 2023","Feb 29, 2024",https://theijf.org/procurement/7264255_rcmp
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$125,626","Sep 7, 2023","Sep 7, 2023","Mar 29, 2024",https://theijf.org/procurement/7266995_rcmp
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$649,515","Nov 17, 2023","Nov 17, 2023","Mar 28, 2024",https://theijf.org/procurement/7268593_rcmp
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$216,083","Dec 4, 2023","Dec 4, 2023","Mar 28, 2024",https://theijf.org/procurement/7268937_rcmp
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$17,534","Dec 13, 2023","Dec 13, 2023","Mar 28, 2024",https://theijf.org/procurement/7269155_rcmp
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$1,006,856","Apr 4, 2023","Apr 4, 2023","Mar 31, 2024",https://theijf.org/procurement/7264006_rcmp
Federal,"Buildings and/or installations for telecommunications, computers and/or electronic/automated office systems",Public Services and Procurement Canada,THE BELL TELEPHONE COMPANY OF,"$15,316","Jan 4, 2023","Jan 4, 2023","Mar 31, 2202",https://theijf.org/procurement/ep750c2395_pwgsc
Federal,Data communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,,"Oct 3, 2022","May 3, 2022","May 3, 2099",https://theijf.org/procurement/k000021613_ssc
Federal,Information Technology and Telecommunications Consultants,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,,"Sep 20, 2022","Sep 16, 2022","Sep 15, 2032",https://theijf.org/procurement/k000021362_ssc
Federal,Other Professional Services not Elsewhere Specified,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,,"Jan 28, 2022","Jan 28, 2022","Jan 27, 2032",https://theijf.org/procurement/k000017662_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$318,150","Jun 5, 2023","Jun 6, 2023","Jun 5, 2031",https://theijf.org/procurement/p000050100_ssc
Federal,License/Maintenance fees for networking software,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$3,390,000","Mar 14, 2023","Mar 14, 2023","Mar 13, 2031",https://theijf.org/procurement/p000047052_ssc
Federal,"Communications/Network services (includes services for analog, digital or combined analog and digital, parts, peripherals and cabling)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$1,566,180","Mar 15, 2023","Mar 15, 2023","Mar 31, 2030",https://theijf.org/procurement/700706935_ssc
Federal,License/Maintenance fees for networking software,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,,"Oct 7, 2020","Feb 28, 2020","Feb 27, 2030",https://theijf.org/procurement/k000008286_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$122,212","Feb 1, 2024","Feb 1, 2024","Mar 31, 2029",https://theijf.org/procurement/p000054320_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$36,233","Feb 1, 2024","Feb 1, 2024","Mar 31, 2029",https://theijf.org/procurement/p000054450_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$39,837","Mar 1, 2024","Mar 1, 2024","Mar 31, 2029",https://theijf.org/procurement/p000055314_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$44,461","Apr 3, 2023","Apr 3, 2023","Mar 31, 2029",https://theijf.org/procurement/p000037155_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$198,623","Jan 1, 2024","Jan 1, 2024","Mar 31, 2029",https://theijf.org/procurement/p000054060_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$138,897","Dec 2, 2022","Dec 2, 2022","Mar 31, 2029",https://theijf.org/procurement/p000043040_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$137,026","Jul 10, 2023","Jul 10, 2023","Mar 31, 2029",https://theijf.org/procurement/p000051309_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$271,335","Jul 14, 2023","Jul 14, 2023","Mar 31, 2029",https://theijf.org/procurement/p000051361_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$48,667","Aug 23, 2023","Aug 23, 2023","Mar 31, 2029",https://theijf.org/procurement/p000052332_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$1,187,155","Jan 1, 2024","Jan 1, 2024","Mar 31, 2029",https://theijf.org/procurement/p000052729_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$713,238","Aug 11, 2023","Aug 11, 2023","Mar 31, 2029",https://theijf.org/procurement/p000052397_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$91,315","May 19, 2023","May 19, 2023","Mar 31, 2029",https://theijf.org/procurement/p000050017_ssc
Federal,License/Maintenance fees for networking software,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$841,789","Mar 20, 2024","Mar 20, 2024","Mar 20, 2029",https://theijf.org/procurement/p000059478_ssc
Federal,License/Maintenance fees for networking software,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$305,243","Feb 29, 2024","Feb 29, 2024","Feb 28, 2029",https://theijf.org/procurement/p000057506_ssc
